TÊN TRUYỆN: Triệu Hoán Đại Ma Đầu
TÁC GIẢ: 沙蝎
------------------------------

=== Đường Hoàng Tuyền Mới Giác Tỉnh (#1) ===

Người đăng: buikhiemhtc@

Thứ 001 chương trên đường hoàng tuyền mới Giác Tỉnh 



	( tác giả lời mở đầu: nhìn kỹ mấy vạn chữ, ta bảo đảm ngươi không uổng chuyến này 
	Giờ phút này hắn quanh thân đích hồn thể tất cả đều bị tiếng gầm hóa thành hư ảo, hắn một mình đặt mình trong trống trải chỗ, vô che vô ngăn đón, mục tiêu rõ ràng dị thường.



	Tiến giai đích hoàng kim cá lô xà khoảnh khắc liền phát hiện  sự hiện hữu của hắn, cặp kia kim đồng hiện lên một tia bất an.



	Chính là hiện tại! Thừa dịp ngươi bệnh phải mạng ngươi!



	Dịch tiểu thất quả quyết địa phóng ra, hắn nhìn ra theo tiếng huýt gió chấm dứt, này chỉ tân tấn yêu ma quỷ quái pháp thể lâm vào chưa từng có đích suy yếu trạng thái.



	Toàn lực thúc dục hồn lực, pháp thân hồn tức bốc hơi, hóa thành  một đạo tàn ảnh, cấp tốc lược hướng kia có chút dại ra đích yêu ma quỷ quái.



	Mười ngón sắc bén đích móng tay sinh trưởng tốt, không chút do dự quay đầu trảo lạc.



	Dát băng! Dát băng! Dát băng!



	Hơn mười đoạn dài giáp hoa ở yêu ma quỷ quái ám kim trên da thịt, khoảnh khắc văng tung tóe  bảy tám cái, gãy xuống dưới đích lợi giáp hóa thành một chùm sương khói tán đi.



	Dịch tiểu thất không kịp kinh ngạc, cũng không lãng phí thời gian đi thu tiêu tán rụng đích hồn tức, thừa dịp còn có tam phiến móng tay xuyên thấu đối phương thân hình, hắn bật người cổ chừng trong miệng kích động đích hồn lực, hét lớn một tiếng "Phệ hồn!" .



	Này nhớ chấn hồn hắn nổi lên đã lâu, bằng hắn thực lực bây giờ, ngân bạch cá lô xà cũng muốn tại đây thanh chấn uống trung bị chấn nát hồn thể.



	Hắn đương nhiên sẽ không nghĩ đến chiêu này có thể đối đột phá cực hạn đích hoàng kim cá lô xà hội có tác dụng gì, hắn làm như vậy đích mục đích là vì làm sâu sắc đối phương hồn thể miệng vết thương.



	Hồn thể đã bị công kích, chẳng sợ chính là nho nhỏ miệng vết thương đều đã làm cho linh hồn sinh ra xé rách, loại này đau đớn không phải dựa vào cường hãn đích thực lực có thể chịu được đích, nó trực tiếp khảo nghiệm bản thể đích tinh thần thừa nhận lực, mà tinh thần lực là ước thúc hồn tức đích căn nguyên chỗ,nơi, bởi vậy mà ngay cả tân tấn đích yêu ma quỷ quái cũng đau đến nhe răng trợn mắt, kém một đường sẽ hoàn toàn đọng lại đích pháp thể nhất thời xuất hiện không ổn định đích dao động.



	Dịch tiểu thất bật người triển khai lực cắn nuốt, điên cuồng thu lấy đối phương trong cơ thể kia đùi hùng hậu đến mức tận cùng đích hồn tức.



	Tân tấn yêu ma quỷ quái ở pháp thể tối suy yếu đích thời khắc bị người đánh bất ngờ trì ngụ ở, linh hồn đích xé rách làm cho nó thần trí hỗn loạn mơ hồ, bất quá nó dù sao đã thành liền ma đầu thân, mặc dù là bản năng giãy dụa cũng là uy lực kinh người.



	Giờ phút này nó trong lòng vừa sợ vừa giận, chỉ cần lại cho nó một lát thời gian, pháp thể có thể đủ đại viên mãn, đến lúc đó cho dù hồn lực không đông đảo, đối phó này đê tiện đích người đánh lén cũng là nếu như nghiền diệt con kiến bàn đơn giản, như thế nào sẽ bị dễ dàng thương tổn được pháp thể.



	Linh hồn đích xé rách làm cho nó khó có thể lực ngưng tụ lượng phản kích, hồn tức đích rất nhanh trôi qua lại họa vô đơn chí, nó chỉ có số chết giãy dụa, chỉ cần đạt được thở dốc cơ hội, nó liền có nắm chắc đem pháp thân hoàn toàn khôi phục lại.



	Vài cái mãnh liệt xóc nảy, dịch tiểu thất thiếu chút nữa liền mất đi nắm trong tay, hắn hiểu được đây là sống chết trước mắt, hoàng kim cá lô xà đã muốn làm cho hắn kiêng kị vô cùng, huống chi là cao thượng một tầng đích tồn tại.



	Hắn hiểu được, xảy ra trước mặt chỉ có hai con đường, không phải hắn thôn tính đối phương, chính là đối phương thôn tính rụng chính mình.



	"Hóa thân thật lớn!"



	Dịch tiểu thất đã muốn bất chấp rất nhiều , không chút do dự thúc dục hồn thể, sử chi bành trướng mở ra.



	Hóa thân thật lớn xem như hồn thể đích hạng nhất tính chất đặc biệt, chỉ cần ủng có đầy đủ đích hồn tức, lý luận thượng có thể cho thân thể vẫn thành lớn, làm cho hồn lực được đến lớn nhất phát huy.



	Bất quá cái này năng lực cũng tồn tại nhược điểm, nếu không thêm tiết chế bành trướng, ý thức sẽ mất đi đối hồn thể đích khống chế, đến lúc đó liền thực hội bạo mở.



	Dịch tiểu thất trong cơ thể hồn tức hùng hậu, hơn nữa theo yêu ma quỷ quái trong cơ thể cuồn cuộn không ngừng hấp thụ tới hồn tức, cũng đủ duy trì phương pháp thân bành trướng sau đích tiêu hao. Sau một lát, hắn đích pháp thân đã muốn cao tới năm trượng, như là lớn thần lâm thế.



	Khổng lồ đích thân thể chặt chẽ đem yêu ma quỷ quái đặt ở phía dưới, thô nếu đại thụ đích cánh tay khóa lại đối phương yết hầu, làm cho này không thể động đậy.



	Tư thế có điểm bất nhã, bất quá hiệu quả lại phi thường tốt.



	Yêu ma quỷ quái hiện tại hồn thể cực kỳ không xong, tự nhiên không thể làm được đồng dạng biến thân, nó tựa hồ nhận mệnh  thân thể tê liệt, không hề giãy dụa, nhưng mà, cặp kia màu vàng mắt đồng nội lại đằng địa dấy lên nhất bó buộc u lam ngọn lửa.



	Dịch tiểu thất tuy rằng không có thấy đối phương mắt đồng dị trạng, nhưng là bản năng cảm ứng một tia nguy hiểm, miết mắt phát hiện đối phương kim đồng kia lũ u lam chi hỏa, làm sao không biết nguyên nhân chỗ,nơi.



	Nếu phía trước chưa ăn quá màu lam ngọn lửa đích đau khổ, có lẽ hắn còn không hội như vậy cảnh giác, thậm chí không thể cảm ứng được nguy hiểm đích hơi thở.



	Hắn không biết này lũ ngọn lửa cùng yêu ma quỷ quái biến thân tiền trong miệng thốt ra đích hồn hỏa hay không cụ bị đồng dạng đáng sợ, bất kể như thế nào, trước ngăn cản nói sau. Thân thể cao lớn uốn éo, sử xuất khi còn sống rất tinh tường trong quân bắt thuật, hai cái tráng kiện vô cùng đích đùi tia chớp bàn kẹp lấy yêu ma quỷ quái đích đầu, sử lực xoay.



	Cơ hồ đồng thời, yêu ma quỷ quái mắt đồng nội đích kia tinh màu lam ngọn lửa nổ tung.



	Ầm vang!



	Như là lửa khói bắn một lượt, màu lam ngọn lửa như là toái tinh thạch bàn mọi nơi toát ra.



	May mà dịch tiểu thất sớm xoay đầu của nó lô, hai mắt phun ra đích ngọn lửa tất cả đều dừng ở chỗ trống, sau một lát mới đuổi dần tiêu tán không thấy.



	Dịch tiểu thất nghĩ mà sợ không thôi, cúi đầu nhìn lại, phát hiện đối phương kia kim đồng bên trong lam hỏa vẫn như cũ nhảy lên không ngớt, giống như tùy thời cũng có thể lại đến thượng một lần, sợ tới mức hắn sử xuất bú sữa mẹ đích khí lực, hai chân hết sức kẹp chặt.



	Tòng thủy chí chung, dịch tiểu thất đều ở tham lam địa hấp thụ đối phương hồn tức, hắn phải làm cho đối phương không có gì trở mình bàn đích cơ hội.



	Nửa ngày qua đi, hắn vẫn như cũ vẫn duy trì này quỷ dị tư thế, mà giờ khắc này tình huống đã hoàn toàn đã bị  khống chế.



	Yêu ma quỷ quái trong mắt đích ngọn lửa sớm tắt, hấp hối địa nằm, pháp trên người miệng vết thương đã muốn không bị khống chế, càng nứt ra càng lớn, trong cơ thể hồn tức nước sôi bàn dao động, từng đạo mặc mầu hồn tức tự này trong cơ thể dâng lên, như nước chảy địa dũng hướng dịch tiểu thất.



	Dịch tiểu thất nhắm hai mắt, tùy ý thôn tính này đó tinh luyện vô cùng đích hồn tức, như là con ác thú một chút khó có thể nói dụ đích mỹ thực.



	Theo hồn tức không ngừng lớn mạnh, hắn ẩn ẩn cảm thấy lâu dài tới nay đích đỉnh gông cùm xiềng xiếc có dấu hiệu buông lỏng.



	Lại là nửa ngày thời gian, hắn thân dưới đích yêu ma quỷ quái đột nhiên mở to mắt, phát ra một tiếng tế không thể nghe thấy đích nức nở, tiếp theo màu vàng lợt đích pháp thể liền vỡ vụn số tròn cánh hoa, cũng từ giữa điệt xuất một quả đen thùi tỏa sáng đích hạt châu, một luồng cực kỳ tinh túy đích còn sót lại hồn thể đột nhiên chui vào hạt châu nội biến mất không thấy.



	( tân nộn gian nan a, đề cử phiếu cấp tấm vé đi, nói hảo thư cũng sợ ngõ nhỏ thâm, đúng không! )! ~!.

==================================================

=== Đệ 005 chương tam hồn thế chân vạc thất phách sinh (#5) ===

Người đăng: buikhiemhtc@

Dịch tiểu thất cũng không để ý gì tới hội này cổ quái đích một màn, hiện giờ hắn hồn thể cũng tới rồi đại thành giai đoạn, hút chừng  hồn tức sau, ở nào đó thần bí đích gọi về hạ, hắn tự động tiến nhập một vòng kỳ dị đích minh tưởng trung. 



	Hắn ngã ngồi trên mặt đất, thật lớn đích hồn thể bất tri bất giác thu nhỏ lại, khôi phục thành trạng thái như cũ.



	Một tháng qua đi...



	Một năm qua đi...



	Hắn vẫn không nhúc nhích, huyền phù ở Hoàng Tuyền lộ tự hành phiêu di.



	Bốn phía nhìn như trống trải một mảnh, lại tràn ngập  nào đó thần bí đích hơi thở, không có gì một cái nhỏ ma đầu dám can đảm tới gần này khối khu vực.



	Vài năm sau, này khối khu vực đột nhiên sinh ra một cỗ kịch liệt dao động, từng đạo trong suốt đích gợn sóng hóa khai.



	Đặt mình trong gợn sóng trung tâm đích dịch tiểu thất diện mạo đã muốn trở nên mơ hồ không rõ, giống như là rung động đích bóng dáng.



	Oanh!



	Nhất ba lớn hơn nữa đích gợn sóng phiếm khai, lập tức dịch tiểu thất trên đỉnh đầu phương sinh ra  ba cái lốc xoáy, phân biệt là bụi, hắc, bạch, tam mầu.



	Này ba đạo lốc xoáy sinh ra sau, không gian giống như đều bởi vậy một trận vặn vẹo, nhưng rất nhanh ba cổ lốc xoáy tất cả đều chìm vào dịch tiểu thất trong đầu biến mất không thấy.



	Làm lốc xoáy chìm vào đích khoảnh khắc, dịch tiểu  thất cả người rung mạnh, toàn thân dao động bắt đầu đuổi dần bình phục lại, cả người trở nên càng ngày càng rõ ràng, một lát sau một bộ màu đỏ đích thân hình triển lộ ra đến.



	Giống như huyết nhân bàn đích dịch tiểu thất lúc này bỗng nhiên mở to mắt, dựng thân dựng lên, nguyên bản tràn ngập bốn phía không gian đích thần bí hơi thở khoảnh khắc biến mất đích vô tung vô ảnh.



	Ân?



	Dịch tiểu thất theo kỳ dị đích trạng thái trung rời khỏi, nhíu mày suy tư.



	Sau một lúc lâu, hắn thân thủ một trảo, không gian tạo nên một tầng gợn sóng, hắn bán chỉ thủ cư nhiên thân  đi vào, theo sau liền lùi về thủ, tiếp theo, hai mắt đồng tử đột nhiên từ hắc chuyển kim, hai luồng màu lam ngọn lửa chợt sôi nổi trong đó, thoạt nhìn cực kỳ quỷ dị.



	"Đây là ngày hồn cùng địa hồn?" Khóe miệng hắn hiện lên một tia lĩnh ngộ đích tươi cười.



	Lúc sau, hắn lại cúi đầu đánh giá khởi chính mình đích thân hình.



	Hiện giờ này phó thân hình có vẻ dữ tợn khủng bố, như là cả người bị lột da, bên trong màu đỏ đích cơ thể gân cốt mấp máy, thoạt nhìn dị thường ghê tởm, ngay cả hắn đều cảm thấy một trận không khoẻ.



	Bất quá, hắn cũng không có gì hoảng sợ biểu tình, pháp thể đại viên mãn khi hắn liền hiểu được giữa duyên cớ, đây là đang trùng kiến thân hình, không chỉ có là cơ thể gân cốt, thậm chí ngay cả trong cơ thể đích ngũ tạng lục phủ đều đang không ngừng sống lại trung.



	Hắn tinh tế thể nghiệm  thân thể đích các hạng biến hóa, chậm rãi, màu đỏ bên ngoài thân thượng hóa ra làn da, khôi phục  hắn tướng mạo sẵn có, chính là giờ phút này đích hắn thoạt nhìn so với từ trước có vẻ trắng nõn rất nhiều, từ trước dầm mưa dãi nắng dưỡng thành thô ráp ngăm đen đích mặt trở nên phi thường bóng loáng, tuổi giống như một chút nhỏ đi nhiều tuổi.



	"Đây là số mệnh hồn đích lực lượng đi!" Dịch tiểu thất thì thào tự nói: "Nguyên lai pháp thể đại viên mãn chính là thiên địa mệnh tam hồn trở về vị trí cũ khi, ngày hồn chủ quản không gian vận số, địa hồn nắm trong tay ý thức hồn thể, mà mệnh hồn còn lại là thất phách chi nguyên, có thể làm cho thịt khu sống lại... Thật sự là kỳ diệu, người thường tuy rằng đồng dạng cụ bị tam hồn, khả là bọn hắn hồn thể khoảng cách đại viên mãn quá xa, căn bản không thể hiểu biết này ảo diệu chỗ,nơi."



	Nhìn nhìn trần truồng ** đích thân thể, hắn ách nhiên thất tiếu, hắn biết trước kia làm hồn thể khi cái gọi là đích quần áo chính là khi còn sống ý niệm đích lưu lại vật, hiện tại hắn là cụ bị thật thật tại tại đích thịt khu, này ức nghĩ ra được đích quần áo đương nhiên không còn nữa tồn tại.



	Này đương nhiên không làm khó được chính mình, pháp thể đại viên mãn mang đến đích bổn sự cũng không nhỏ, động niệm trong lúc đó, trên người đã muốn sinh ra hắn sở phải đích quần áo trong cùng quần, ngay cả giày da dây lưng đều là mới tinh đích.



	Đây cũng không phải là ảo giác, là hồn tức ngưng tụ thành thật thật tại tại đích vật phẩm.



	Thân thể của hắn chậm rãi dâng lên, này phó tân sinh đích thân thể ở trong này có vẻ có chút ngốc, không có trước kia đơn thuần hồn thể nhẹ nhàng linh hoạt, nhưng nội tâm của hắn đã muốn mừng rỡ, làm sao còn có thể để ý này đó.



	Qua một trận, tâm tình kích động thoáng bình phục, hồi tưởng lại phía trước thôn tính đích ma đầu, ánh mắt đảo qua, lập tức chú ý tới ngầm kia khỏa tối đen đích hạt châu, thân thủ hư trảo, đem hạt châu nhiếp vào trong tay, quan sát một hồi, dĩ nhiên hiểu được thứ này đích chân tướng, đây là cá lô xà thành tựu ma đầu sau hình thành đích lần tràng hạt, trách không được không có bị hắn thôn tính rụng.



	Này khỏa lần tràng hạt chính là thứ tốt, hắn không có nghĩ nhiều, trở mình thủ trong lúc đó hạt châu liền đã muốn biến mất không thấy, cũng là bị hắn thu vào ngày hồn không gian bên trong.



	Lập tức, hắn ngẩng đầu lên, như có điều suy nghĩ địa nhìn xa kia hiện ra huyền hoàng vẻ đích không trung, hơi hơi nheo lại  ánh mắt.



	Thôn tính  kia chỉ tân tấn ma đầu sau, hắn chặn được  một ít về vực ngoại ma đầu đích tin tức. Chúng nó là Ma Vực trung đích quỳ xi tộc, quỳ xi tộc ma đầu một khi tiến giai thành ma thần, sẽ tìm kiếm hồn thể tụ tập địa đại lượng sự đẻ trứng, đây là Hoàng Tuyền lộ xuất hiện cá lô xà đích khởi nguyên.



	Quỳ xi ấu tể đích lớn dần quá trình cực kỳ thảm thiết, chúng nó không chỉ có phải chính mình đi săn, trở thành lược thực giả, còn muốn đối mặt có huyết thống quan hệ đồng loại đích cạnh tranh, chúng nó lẫn nhau thôn tính, để rất nhanh tiến giai. Chỉ có tiến giai đến ma đầu, mới mới có thể phá vỡ huyền minh, phản hồi Ma Vực.



	Về Ma Vực dịch tiểu thất thu hoạch đích tin tức cũng không nhiều, dù sao hắn thôn tính rất đúng giống chính là cái tân tấn ma đầu, khắc ở đối phương ý thức trung đích bản năng trí nhớ nói cho hắn biết, Ma Vực tràn ngập  thảm thiết hơn đích cạnh tranh, quỳ xi tộc loại mặc dù là Ma Vực cực mạnh bá chủ, nhưng Ma Vực đều không phải là chỉ có quỳ xi tộc đích tồn tại, sinh tồn ở Ma Vực đích các loại ma vật có thể nói sổ bất thắng sổ.



	Quỳ xi cường đại như vậy đích Ma tộc, muốn ở Ma Vực trung sinh tồn, tử vong đích tỷ lệ cũng là đại đích kinh người.



	Làm cho dịch tiểu thất kinh ngạc vạn phần chính là ma đích lớn dần, ma đích lớn dần giai đoạn dài lâu đến làm người ta kinh ngạc, gần còn nhỏ kỳ liền cần mấy trăm thậm chí hơn một ngàn năm, lúc này đích ma giống như u linh, chúng nó có cần ký sinh ở mặt khác thịt khu trên người, chậm rãi lớn dần; có tắc nếu như quỳ xi tộc, đem chính mình đích ấu tể hạ đến Hoàng Tuyền lộ loại này chỗ đặc thù.



	Làm còn nhỏ kỳ qua đi, ma liền đi vào lớn dần kỳ, lúc này cần cùng vô số kể đích ngoại tộc cạnh tranh sinh tồn quyền, chỉ có không ngừng thôn tính, sau đó mới có thể chậm rãi tiến giai đến thành thục kỳ, sau đó mới vừa tới hoàn mỹ kỳ.



	Mà gần lớn dần kỳ liền chia làm ma đầu, ma chúa, ma tôn. Thành thục kỳ chia làm Ma Mỵ, ma kiêu, ma khôi, hoàn mỹ kỳ tắc chỉ có ma thần.



	Tới ma thần khi, chúng nó đích pháp khu sẽ lớn đến không gì sánh kịp, này thần thông lại bất khả tư nghị. Đương nhiên này đó chính là mơ hồ đích truyền thừa ấn ký, dịch tiểu thất cũng không biết chúng nó lớn dần sau cụ thể đích hình thái, chỉ biết là muốn tiến giai thành cuối cùng hình thái, quá trình của nó gian nan vô cùng.



	"Thế giới này thật đúng là làm cho người ta xuất hồ ý liêu a, khi còn sống không biết là, đã chết ngược lại biết càng nhiều..."



	Dịch tiểu thất cảm thán vạn phần, bởi vì hiểu biết, liền tồn  đối Ma Vực đích vài phần kính sợ, hắn cũng không dám tùy ý nếm thử phá vỡ huyền minh, mạc danh kỳ diệu bước chân vào cái gì ma đích thế giới, cái gì trình tự đối hắn mà nói đều là mây bay, thật muốn là mỗi ngày cùng này không nhân không trách gì đó đả đả sát sát, chẳng phải là làm cho hắn buồn bực đến hộc máu.



	Chuẩn bị một chút tâm tình, tính toán trước đuổi tới Hoàng Tuyền lộ cuối nhìn xem, không muốn làm rõ ràng điểm ấy thật sự làm cho hắn không cam lòng.



	Hiện giờ pháp thân đại viên mãn, ** nặng tố, độn tốc ngược lại so với từ trước chậm rất nhiều, bất quá duy nhất thật là tốt chỗ là, hắn không hề giống như trước như vậy lo lắng hồn thể tiêu hao, một đường bay vút, nếu là gặp được ngân bạch cá lô xà, hắn tùy tay liền nhiếp với tay cầm, thậm chí ngay cả thân pháp đều không có tạm dừng xuống dưới.



	Như vậy, đi trước  ngàn dặm, ven đường bốn phía thôn tính, pháp thân đại viên mãn cảnh giới càng phát ra củng cố .



	Trong lúc, hắn phát hiện chứa nhiều nhân loại hồn thể lẫn nhau đích sai biệt, trước kia hắn nhận không được, hiện giờ xuyên thấu qua pháp nhãn lại nhìn, bọn họ tuy rằng nhìn như toàn bộ lâm vào một loại vô ý thức trạng thái, Trên thực tế có tương đương một phần trừ bỏ biểu hiện ra so với đồng bạn càng mạnh đích hồn tức, hơn nữa ý thức hoạt động cũng tương đương sinh động, chẳng qua khuyết thiếu  nào đó kích thích, mình ý thức phi thường bạc nhược, bởi vậy không thể tô tỉnh lại.



	Dịch tiểu thất sờ sờ cằm, hắn nghĩ đến chính mình hiện tại sở cụ bị ** nặng tố đích năng lực, này đó hồn thể tuy rằng địa hồn không xong, dù sao vẫn chưa hết toàn bộ lâm vào hỗn độn bên trong, chỉ cần hắn gia dĩ dẫn đường, tái cho bọn hắn nặng tố thân thể, có lẽ thật đúng là có thể làm được khởi tử hồi sinh.



	Chủ yếu chính là, nếu như mình có thể đi ra nơi này, này đó hồn thể có lẽ sẽ trở thành hắn đích nhất đại trợ lực.



	Nghĩ tới liền không chút do dự hành động, ven đường lưu ý khởi loại này có được cường đại ý thức đích hồn thể, chỉ cần gặp được, liền thân thủ nhiếp đến, đem nó đưa vào chính mình đích ngày hồn không gian nội.



	Ngày hồn không gian là siêu nhiên vu nên giới đích tồn tại, là một tự hành khai phá đích rộng lớn không gian, cái gọi là hồn thể viên mãn, độc lập thế giới, mà cách thành.



	Hồn thể đi vào ngày hồn không gian tương đương với bị đóng cửa ấn lên, cũng không hội bởi vậy bị dịch tiểu thất cấp thôn tính rụng.



	Sa hạt ấn: buổi tối còn có nhất chương, kế tiếp mỗi ngày hai càng, thành tích càng tốt đổi mới càng nhanh. ! ~!.

==================================================

=== Đệ 006 chương lục đạo luân hồi đại tắm bài (#6) ===

Người đăng: buikhiemhtc@

Có sự tình có thể làm, dịch tiểu thất cuồng đi Hoàng Tuyền lộ đích đường xá cũng bất giác quá mức nhàm chán, đối với thu thập hồn thể, nội tâm của hắn thật không có nhiều lắm chịu tội cảm, trên thực tế bọn họ trước mắt đích trạng thái đã cùng người sống không nhiều lắm quan hệ , thật là ngay cả tử thi đều không tính là. 



	Vả lại, loại này ngoại tộc hồn thể cho dù không bị dịch tiểu thất mang đi, đại đa số cũng sẽ trở thành này tiểu ma đầu đích bàn đồ ăn Trung Quốc, nếu này đó hồn thể biết dịch tiểu thất làm như vậy đích mục đích, phỏng chừng bọn họ hội bởi vậy mà vô cùng cảm kích.



	Ngoại tộc hồn thể số lượng rất thưa thớt, bất quá đối với động lấy vạn triệu kế đích vong linh hải dương, loại này tồn tại vẫn là tương đương khả quan đích. Bị chọn lựa đích ngoại tộc hồn thể trừ bỏ số ít trung lão niên, đại đa số là tuổi trẻ lực tráng đích thanh niên, ai cũng không biết bọn họ khi còn sống đã làm cái gì, cũng không ai quan tâm vấn đề này.



	Dịch tiểu thất dựa vào hồn thể đại viên mãn đích thực lực, nghiễm nhiên thành Hoàng Tuyền lộ cực mạnh bá vương, ven đường hắn nếu không cố ý thu liễm hơi thở, trăm dặm trong vòng sở hữu lược thực giả tất cả đều nghe tin đã sợ mất mật, bỏ  trốn mất dạng.



	Bất quá tại đây lúc sau, hắn không nữa gặp được một cái cường nếu hoàng kim cá lô xà đích tồn tại , càng đừng nói cái gì cái gì ma đầu cấp bậc .



	Như thế, hắn tiếp tục về phía trước phi hành, làm hắn kỳ dị chính là, theo không ngừng xâm nhập, ven đường chứng kiến,thấy đích hồn thể mặc cũng phát sinh biến hóa, vừa mới bắt đầu này hồn thể mặc mốt, cùng hắn khi còn sống thời đại không có gì khác biệt, nhưng tới rồi sau lại, phục sức chênh lệch liền rớt ra , đầu tiên là kiểu dáng càng ngày càng chỉ một, càng ngày càng cổ xưa, mỗ giai đoạn trình hắn còn phát hiện đại lượng thống nhất đích hồng vệ binh quân phục, ngực còn đừng  đứng đầu kỷ niệm chương.



	Tiếp tục bão táp, xẹt qua tảng lớn tảng lớn đích vong linh, theo hiện đại đến cận đại, theo dân quốc đến thanh hướng, giống như trình diễn  một màn mạc lịch sử trang phục mốt tú.



	Phải biết rằng hồn thể đích bộ dạng mặc hoàn toàn là dừng lại ở khi còn sống mỗ nháy mắt trạng thái, như vậy xem ra, cùng tồn tại tại đây con từ từ Hoàng Tuyền trên đường chính là không cùng lúc, bất đồng niên đại đích người chết linh hồn, cũng không biết này niên đại đem liên tục vượt qua rất xa.



	Trong lúc hắn thu thập đến đích khác thường hồn thể tổng số đã muốn đạt tới  hơn năm trăm cái, mấy ngày liền hồn không gian đều nhanh bị chật ních .



	Đuổi ở tại thanh hướng linh hồn đội ngũ khi, hắn đã có sở phát hiện Hoàng Tuyền lộ kia đùi lực lượng thần bí tựa hồ đang ở nhanh hơn lưu động, tuy rằng đối hắn không nhiều ít ấn tượng, nhưng hắn vẫn là cẩn thận đứng lên.



	Lúc sau càng là đi phía trước, vong linh trôi đi đích tốc độ lại càng mau, nhưng nếu không đi tham chiếu huyền hoàng thiên khoảng không này cố định bất động đích u quang, đặt mình trong giữa rất khó phát hiện biến hóa. Bất quá dịch tiểu thất nếu đã muốn chú ý đến, giống hắn loại này độc lập tính rất mạnh đích hồn thể tự nhiên cảm nhận được đến từ tiền phương đích hấp lực chính đuổi dần lần cường.



	Lúc này không chỉ có không làm cho hắn kinh hoảng, ngược lại làm hắn bắt đầu hưng phấn đứng lên, có biến hóa ý nghĩa tiếp cận chung điểm, hoặc là đến  mỗ cái chỗ đặc biệt.



	Hắn chẳng những không có giảm thấp tốc độ, ngược lại cố lấy hồn lực hướng phía trước cuồng phi, hắn thực muốn nhìn một chút Hoàng Tuyền cuối đường có cái gì, có phải hay không có trong truyền thuyết đích âm tào địa phủ, có phải hay không có thần thoại trung đích ngưu đầu mã diện, nếu ở bên kia gặp cái quỷ gì kém Diêm La đích, hắn lại nên nói cái gì đó đâu...



	Mười vạn lý lúc sau, hắn phát hiện này đùi hấp lực càng ngày càng mạnh, phía dưới này cơ hồ yên lặng đích vong linh bắt đầu trở nên lắc lắc lắc lắc đứng lên, giống như đặt mình trong mỗ đùi mạch nước ngầm bên trong.



	Dịch tiểu thất lúc này mới có chút kinh nghi bất định đứng lên, hắn nếm thử sau này đi ngược chiều, không nghĩ tới dĩ vãng chỉ tính thoáng lao lực đích đi ngược chiều khó khăn một chút tăng lên thập bội không chỉ, điều này làm cho hắn sắc mặt trở nên có chút khó coi.



	Hắn hiểu được, coi như mình vẫn không nhúc nhích, này đùi hấp lực tối nhưng vẫn còn hội mang theo hắn đi tới, trừ phi vẫn kháng cự, hoặc là rõ ràng đi ngược chiều trở về. Khả vô luận là kháng cự cùng đi ngược chiều cũng không phải hắn hy vọng đích, hắn cũng không muốn tái hoa mấy lần thời gian, tái trở về đi một chuyến, ai biết mặt khác một mặt là cái gì. Hơn nữa hắn tin tưởng nếu như mình kháng cự không được nơi này đích hấp lực, như vậy cho dù trở lại mặt khác một mặt, hắn cũng nhất định sẽ dừng lại ở nơi nào đó.



	Kiên trì lần thứ hai đi phía trước, chính là kế tiếp hắn cũng không dám lỗ mãng thất thất đi phía trước vọt.



	Lực lượng thần bí không ngừng thành lớn, hấp lực giống như vô cùng vô tận. Kế tiếp nhìn đến đích một màn cũng là làm cho hắn sắc mặt một mảnh trắng bệch.



	Sở hữu đích Quỷ Hồn không hề suốt nhất tề sắp hàng, bọn họ như là đưa thân vào nước sôi bên trong, vô tự quay cuồng, vô số bảo trì các loại tư thế đích hồn thể không khống chế được địa ở không trung đấu đá lung tung, tựa như quần ma loạn vũ.



	Dịch tiểu thất không thể không lắc mình tránh né chúng nó, may mà bằng thực lực của hắn, còn không đến mức đã bị hấp lực quá lớn ảnh hưởng, chính là một màn này làm cho hắn xem ra rất là ngạc nhiên.



	Hiện giờ hắn đã muốn đình chỉ phi hành, bởi vì chỉ bằng  hấp lực kéo, đã muốn so với hắn thúc giục lực phi hành phải nhanh tốc hơn. Hiện giờ hắn chỉ có một bên tránh né vu mặt khác hồn thể chạm vào nhau, một bên tụ tập hồn lực chuẩn bị ứng phó có chuyện xảy ra.



	A!



	Ở hồn niệm tra xét hạ, hắn phát hiện bốn phía có đại lượng cá lô xà hỗn loạn ở Quỷ Hồn công chính liều mạng đi ngược chiều, cảm giác như là đang lẩn trốn mệnh bình thường.



	Ngay cả cá lô xà đều e ngại tiền phương lộ trình, điều này làm cho dịch tiểu thất một lòng lần thứ hai bất ổn đứng lên.



